userName,score,at,content
Wafi Wafi,5,2026-03-30 06:52:08,"Ulasan saya pada aplikasi ini lumayan jelek, karena banyaknya bug atau permasalahan aplikasi yang tidak akurat pada kondisi sebenarnya. Saya sengaja kasih bintang lima agar ulasan saya berada diatas. Saya tidak mau menjelek-jeleklan aplikasi BMKG tetapi tolong perbaiki bug yang sangat banyak. dan ini kritikan saya pada aplikasi ini: Loading sangat lama, radar sering tidak bisa dibuka (loading terus menerus, radar juga kepotong atau tidak bisa full, ramalan cuaca tidak akurat"
marc'ELLO' “eLLo” Christopher,1,2026-03-30 05:15:49,Akurasi ? JAUH !! Sebenarnya ini aplikasi prakiraan cuaca (cuaca yang diprakirakan) atau aplikasi harapan cuaca (cuaca yang diharapkan) ?? Semenjak release berita el nino godzilla; aplikasi BMKG jadi ngawur blas. Selalu melenceng. ini godzilla pasti ada skenario'nya kan seperti film godzilla yang di buat - buat skenario'nya kan ya kan ?? Makanya ramalan'nya melenceng terus ya kan ??. MERUGIKAN !
Pengguna Google,5,2026-03-30 04:06:10,saya sangat senang karena bisa menampilkan peringatan bencana alam dan cuaca ekstrem
Muhammad Mukhlis,3,2026-03-28 23:51:03,"aplikasi ini, apakah tidak bisa di jadikan widget?"
Joko Waluyo,1,2026-03-28 19:26:20,"untuk apa, saya yang tinggal dijambi menerima notifikasi gempa di maluku? untuk apa?,, ganggu aja"
handi arianto,1,2026-03-28 10:07:04,BUATKAN WIDGET CUACA & INFO KEJADIAN ALAM TERDEKAT LOKASI
Mazz Jackk,3,2026-03-28 06:36:32,"update cuaca lambat, map di radar kurang jelas,"
Acak Ucuk,1,2026-03-28 00:53:06,"tolong radar hujan yang di Bengkulu kenapa tidak ada lagi, padahal sangat penting, dan juga apakah radar hujannya hanya bisa update per 15 menit?, kenapa tidak seperti radar hujan SANTANU yang bisa update per 2 menit, jadi real time, saya sudah hubungi bmkg bengkulu tidak pernah di respon lewat instagram, terus tidak ada layanan pengaduan, dan juga tolong bug aplikasi diperbaiki, terima kasih"
Drazz Drazz,5,2026-03-27 21:43:17,tolong dong kalo ada gempa kasi suara notifikasi
Rahul Ubaidillah,5,2026-03-24 18:09:38,sangat membantu banget kalau mau melihat perkiraan cuaca. semua info terakhir geografi ada di sini.
alvian liaran,1,2026-03-24 06:13:47,"Redmi note 8 knpa tidak kompatible ini apk ya? kemarin² bisa, skrng gk bisa."
Pramoedya Pratama S,5,2026-03-23 01:40:58,wow keren banget
rina wijayanti,5,2026-03-22 01:07:28,Bagus
Mahesa Bahma,5,2026-03-21 07:29:21,aplikasinya udah bagus semoga mapnya bisa citra satelit seperti google earth
Caki yuki,5,2026-03-20 17:27:33,Sangat membantu☺️👍🏻👍🏻
Pengguna Google,4,2026-03-20 05:46:23,aplikasi ini bisa pringakan bencana atau gempa
Rahmat Almuharram,5,2026-03-19 09:27:35,"sebenarnya aplikasi ini bagus dalam memberikan informasi bencana alam mau pun kondisi alam hanya ketepatan realtimenya perlu diperbaiki lagi termasuk navigasi dan lokasi, tambahkan pendeteksi gelombang p seperti di jepang, tambahkan juga alarm gempa realtime."
GasGas gas,1,2026-03-19 04:45:13,udah mau satu jam setelah terjadi gempa lumayan besar tapi nggk ada update.
Novelano Ricani,1,2026-03-16 07:50:28,terlambat bikin berita terkininya. fasilitas penunjang lengkap tapi lambat informasinya.
Muwaffaq Muslim Hussein,5,2026-03-15 15:07:02,"Saya adalah warga yang tinggal di Yogyakarta dengan memahami potensi bencana alamnya. Saya berharap aplikasi ini kedepannya dapat memberikan alerts untuk evakuasi ketika terdeteksi gempa bumi di area terdampak seperti aplikasi yang ada di jepang (NERV Disaster Prevention app). Mungkin dengan demikian masyarakat lebih terarah serta tau apa yang harus dilakukan jika terjadi bencana sehingga korban jiwa dapat diminimalisir dengan adanya real-time alerts: gempa bumi, tsunami atau gunung meletus."
fatih nugroho,4,2026-03-15 10:51:26,kurang aja
S4ndal J3pit (Dian Hadi),2,2026-03-15 10:06:56,sering tidak cocok. citra satelit dengan kondisi lapangan. kondisi mendung gelap tapi satelit terang.
Adi Genso,2,2026-03-15 08:21:29,"sebelumnya sangat baik, tapi beberapa hari belakangan radar cuacanya sering tidak update cuaca terkini. misal sekarang jam 15.00WIB radar cuaca cuma menampakkan radar jam 13.00WIB. selalu menampilkan cuaca yg sudah lewat. mohon diperbaiki. sebelumnya radar ini sangat membantu terutama buat yg kerja dilapangan."
A muh Yahya,1,2026-03-15 07:17:32,"TDK terlalu akurat menentukan cuaca hujan, kami petani sering kena PRENK"
GilangM Irsan,2,2026-03-14 18:00:01,kurang tepat dan kurang cepat dalam memberikan update
Ade ridwan,1,2026-03-14 17:59:01,terlambat memberikan informasi gempa
Riko Lando,1,2026-03-13 17:24:39,di peta sesuai lokasi.. waikabubak di radar Bima.. waktu juga tidak sesuai.... kau makan sudah semua uang Rakyak BMKG...
Alvian Borneo,1,2026-03-13 10:31:23,Aplikasi tidak kompetible dengan perangkat anda? android 11 masa gk cocok dengan redmi note 8.
Muhammad Alvin karuniawan,5,2026-03-13 08:01:46,berguna sekali
Muhammadludiyatno Bagas,3,2026-03-12 10:44:40,gak sesuai sama apa yg di aplikasi.Seharusnya berawan nggak sampai hujan malah hujan sangat deras 😑
Kasim Mannarima,4,2026-03-11 11:47:28,good
Lukman Hakim,1,2026-03-11 07:41:41,Woi aplikasi lu gabisa dibuka
Louis Gary46,5,2026-03-11 02:24:17,"informasinya lengkap dan akurat serta realtime, mungkin sensor cuacanya dekat sama tempatku yah sampai sedetil itu informasi cuacanya"
Faeyza alfarizqi Iqbal,5,2026-03-10 07:38:01,bagus
Fauzan Haris Wiarso,1,2026-03-08 13:57:11,"tlg itu bottom bar nya dikasih fungsi navbar padding, soalnya tenggelam 🙏"
Mr. Xhophenk,5,2026-03-06 07:11:58,ke akuratan cuaca bagus. Tapi kalau bisa aplikasinya di perbaiki lagi karena aplikasinya tidak bisa di tutup/di keluarkan.
Raban Sucitra,5,2026-03-05 21:52:43,ok
BUBBLEBOY,1,2026-03-05 11:15:00,Kalah sama app Meteored
Misel Putri,1,2026-03-05 06:07:52,"hapus & bubarkan saja ini BMKG, prediksi tidak pernah tepat,begitu kejadian baru diupdate,bocah aja bisa boss, hanya buang"" anggaran saja"
Fahrur Riziq,5,2026-03-05 03:44:57,"tampilan oke tapi lebih baik di upsate agar lebih bagis lagi , apalagi di sediakan fitur misalkan di daerah kita ada gempa terus ada notifikasi darurat masuk biar lebih berguna lagi"
Aris Pina,5,2026-03-04 20:43:38,bagus!
adhe ayu,5,2026-03-04 09:02:54,💪🏻💪🏻💪🏻💪🏻
Chandra perjuangan Nainggolan gomgomperjuangan,5,2026-03-03 12:05:25,bagus banget sama aku ya
